potential_scale,z_um,born_error,rytov1_error,rytov2_error,psi2_over_psi1,max_abs_psi1,rytov1_vs_vector
0.1,5.2,0.164886029156135,0.0185608600103303,0.000276609167329446,0.0316783977399136,0.437865373535021,NaN
0.1,7,0.164886029156135,0.025163567677589,0.00045914191492227,0.0420949936669308,0.424742956081462,NaN
0.1,14,0.164886029156135,0.0469997914272606,0.00274543254172799,0.0731317346238903,0.612134312658725,NaN
0.25,5.2,0.413721963605556,0.0450463562046096,0.00161671012117067,0.079195994349784,1.09466343383755,NaN
0.25,7,0.413721963605555,0.061534958798304,0.00265128412436958,0.105237484167327,1.06185739020365,NaN
0.25,14,0.413721963605556,0.113964837277966,0.0225925541184807,0.182829336559726,1.53033578164681,NaN
0.5,5.2,0.848603901561092,0.0866309960352973,0.00706736883866056,0.158391988699568,2.18932686767511,NaN
0.5,7,0.84860390156109,0.120053510545236,0.0123260173733566,0.210474968334654,2.12371478040731,NaN
0.5,14,0.848603901561091,0.219165889757334,0.196581214931229,0.365658673119451,3.06067156329363,NaN
1,5.2,1.97232680126168,0.168729614094089,0.0439343871594796,0.316783977399136,4.37865373535021,0.169768200441987
1,7,1.97232680126168,0.241742397325994,0.133812349868089,0.420949936669308,4.24742956081462,0.243021007170685
1,14,1.97232680126168,0.472136464043112,27.0499593197813,0.731317346238903,6.12134312658725,0.473357599935164
