configuration,Nxy,Nz,dx_um,padding,window_um,illumination_NA,theta_deg,phi_deg,continuous_born_scalar,continuous_rytov_scalar,continuous_born_co,continuous_rytov_co,continuous_born_full,continuous_rytov_full,scalar_co,scalar_full,polarization_leakage,voxel_born_scalar,voxel_rytov_scalar,voxel_born_co,voxel_rytov_co,voxel_born_full,voxel_rytov_full,voxel_born_continuous_gap,voxel_rytov_continuous_gap,scalar_norm2,co_norm2,vector_norm2,max_abs_rytov_phase,voxel_volume_error,voxel_seconds
sampling_0p05,1024,0,0.05,0,51.2,0,0,0,0.890470992014723,0.0989017410114874,0.890840186467239,0.0986889940595074,0.890946100584147,0.103174217898125,0.00726469786462999,0.0310971731402484,0.0302375031301249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5378.22776656432,5369.5979531137,5374.51190479606,2.39509676628818,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.05,2.14579781294776,0,0.890840029374832,0.0990369073995461,0.89123245619532,0.0988322944823665,0.891338146042694,0.103318683864296,0.00729775440868425,0.0311300906016427,0.0302634118758084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5383.48932181992,5374.73088068608,5379.65797007895,2.38054648340508,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.1,4.294612721817,0,0.892141255984016,0.0994049526795392,0.892516400414905,0.0992081790793284,0.89262094252385,0.103685486701176,0.00732061841364173,0.0311607027910638,0.0302893894259943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5398.43750914897,5389.72190361954,5394.67122915784,2.34891809399324,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.15,6.44950021830543,0,0.89425386320725,0.100002401021133,0.894638700966459,0.0998143409509104,0.894741306671939,0.104275992041972,0.00731746012493209,0.0311967809775323,0.0303272677393283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5423.7857696766,5414.97467810256,5419.95964896346,2.30347262603119,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.2,8.61359395458848,0,0.897280970780397,0.100834021876851,0.897661394401611,0.100656820430427,0.897761208275685,0.105096282639327,0.00729425586825553,0.0312400326612357,0.0303773364488814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5459.45491489857,5450.59758733996,5455.63194940972,2.23214879809032,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.25,10.7901483426374,0,0.901208153641913,0.101910852253319,0.901587472442665,0.101746113110342,0.901683631049914,0.106156763431166,0.0072552453558606,0.0312916745922763,0.0304397616190959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5506.18298287884,5497.25256378608,5502.35092708678,2.2561411610179,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.3,12.9825856588502,0,0.906079551190286,0.103267383076387,0.906457055611548,0.103114370530808,0.906548641417656,0.107488410866172,0.00720320301628202,0.0313515982415952,0.0305136836354389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5564.48854855433,5555.4441806001,5560.62159133728,2.32045854292876,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.35,15.1945496629494,0,0.911939303508034,0.104951761003228,0.912316362855052,0.104807370125767,0.912402395318099,0.109135353035915,0.00714146959109384,0.0314193782054038,0.0305977856534251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5635.12381191994,5625.95585959451,5631.22795309547,2.31599885538996,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.4,17.4299682548373,0,0.918850474494931,0.106959203612112,0.919224007737602,0.106827259129428,0.919303426364422,0.111099823560523,0.00707447552515086,0.0314937626899373,0.0306896728984919,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5719.05040482707,5709.7563807285,5715.13921902208,2.36156201299172,NaN,NaN
sampling_0p05,1024,0,0.05,0,51.2,0.45,19.6931284542689,0,0.926878170594135,0.109305009925732,0.927248156168637,0.109196784770302,0.927319829083366,0.113404809550684,0.00700760920772664,0.0315765285486175,0.0307898866879781,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5817.54297913256,5808.08289890346,5813.59428582828,2.3756440538161,NaN,NaN
