configuration,metric,pupil_weighted_mean,pooled_L2,maximum,minimum,worst_illumination_NA,worst_phi_deg
baseline,continuous_born_scalar,0.912812548356207,0.913301399573823,0.936108331936268,0.890470916822732,0.5,90
baseline,continuous_rytov_scalar,0.105267379398238,0.105450055284343,0.112013238760848,0.0988522846352425,0.5,90
baseline,continuous_born_co,0.913190182522004,0.913678951290168,0.936483716986239,0.890840101145936,0.5,90
baseline,continuous_rytov_co,0.105105617769754,0.105289983777545,0.111943219246186,0.0986403575697555,0.5,0
baseline,continuous_born_full,0.913274114779687,0.913762332135682,0.936542735650128,0.890946035968161,0.5,90
baseline,continuous_rytov_full,0.109363486674695,0.109536134357087,0.116076590429064,0.103128593822727,0.5,0
baseline,voxel_born_scalar,0.896448193336711,0.896816732023393,0.919336656927719,0.880604391384636,0.5,135
baseline,voxel_rytov_scalar,0.0978674469029623,0.0981039594224721,0.108662393236643,0.0855087667388928,0.5,225
baseline,voxel_born_co,0.896790486799613,0.897158839172647,0.919680779368882,0.880954685817179,0.5,225
baseline,voxel_rytov_co,0.0975127570989272,0.0977538298473554,0.108437274169263,0.0850031249745311,0.5,225
baseline,voxel_born_full,0.896891189857934,0.897259132258056,0.919758471365151,0.881071085031555,0.5,225
baseline,voxel_rytov_full,0.102100772255376,0.102320118936714,0.11258153440989,0.0901934743738152,0.5,225
baseline,scalar_co,0.00706118056737238,0.00705869044259862,0.00734480157659603,0.00659673582923779,0.05,90
baseline,scalar_full,0.0311789862980889,0.0311799457270734,0.0316643789011684,0.0306955763944233,0.5,0
baseline,polarization_leakage,0.0303691022981851,0.0303712012266959,0.0308941905120441,0.029979002602005,0.5,0
window_51,continuous_born_scalar,0.912812935840378,0.913301786874843,0.936108542604431,0.890470992014723,0.5,270
window_51,continuous_rytov_scalar,0.105253937882351,0.105436421576917,0.111986613258584,0.0989017407468697,0.5,0
window_51,continuous_born_co,0.913190300270672,0.913679069335612,0.936483552985718,0.890840186467239,0.5,270
window_51,continuous_rytov_co,0.105092808831493,0.105276970422943,0.11191691663525,0.0986889937277812,0.5,0
window_51,continuous_born_full,0.913274203244906,0.913762421102818,0.936542546974992,0.890946100584147,0.5,270
window_51,continuous_rytov_full,0.109349730217048,0.109522190684294,0.116050413087305,0.103174217581109,0.5,0
window_51,scalar_co,0.007049653791375,0.00704718000784803,0.00733258427130955,0.00657557116159735,0.05,45
window_51,scalar_full,0.0311712392375053,0.0311722062582491,0.0316598772420458,0.0306848778684549,0.5,180
window_51,polarization_leakage,0.030363825834721,0.0303659264709645,0.0308910110731797,0.0299726948607911,0.5,0
sampling_0p05,continuous_born_scalar,0.912812935840378,0.913301786874843,0.936108542604431,0.890470992014723,0.5,270
sampling_0p05,continuous_rytov_scalar,0.105253937869438,0.105436421568831,0.111986613337762,0.0989017410114874,0.5,0
sampling_0p05,continuous_born_co,0.913190300270672,0.913679069335612,0.936483552985718,0.890840186467239,0.5,270
sampling_0p05,continuous_rytov_co,0.105092808807166,0.105276970402745,0.111916916763821,0.0986889940595074,0.5,0
sampling_0p05,continuous_born_full,0.913274203244906,0.913762421102818,0.936542546974992,0.890946100584147,0.5,270
sampling_0p05,continuous_rytov_full,0.109349730193852,0.109522190664897,0.116050413211174,0.103174217898125,0.5,0
sampling_0p05,scalar_co,0.007049653791375,0.00704718000784803,0.00733258427130955,0.00657557116159735,0.05,45
sampling_0p05,scalar_full,0.0311712392375053,0.0311722062582491,0.0316598772420458,0.0306848778684549,0.5,180
sampling_0p05,polarization_leakage,0.030363825834721,0.0303659264709645,0.0308910110731797,0.0299726948607911,0.5,0
