theta_deg,model,region,complex_relative_L2,amplitude_relative_L2
0.0,Born,whole xz window,0.8382119893661125,0.5868908345206918
0.0,Born,spheroid interior,0.7310243591580599,0.5522363407384054
0.0,Rytov,whole xz window,0.0827541350009602,0.052197395116592625
0.0,Rytov,spheroid interior,0.058305876842106696,0.0400884972659005
0.0,Scalar exact,whole xz window,0.022421452801424057,0.01587445159574907
0.0,Scalar exact,spheroid interior,0.030497979167378175,0.021360564738209922
5.0,Born,whole xz window,0.8424126631955968,0.5892781911890785
5.0,Born,spheroid interior,0.7339961369685768,0.5540492678391448
5.0,Rytov,whole xz window,0.08360858062498117,0.052906489862100094
5.0,Rytov,spheroid interior,0.05852628615123897,0.040424367598198924
5.0,Scalar exact,whole xz window,0.022757978749437455,0.01614627748587907
5.0,Scalar exact,spheroid interior,0.030969009434702394,0.021762198214438946
10.0,Born,whole xz window,0.855628973479233,0.5969496619177944
10.0,Born,spheroid interior,0.7434705763586,0.5601196654201344
10.0,Rytov,whole xz window,0.08601467701820636,0.05494413937718937
10.0,Rytov,spheroid interior,0.05919369848112932,0.040521170553842925
10.0,Scalar exact,whole xz window,0.02436821048628563,0.01740130738504247
10.0,Scalar exact,spheroid interior,0.0323569200214418,0.02305726644992045
14.999999999999998,Born,whole xz window,0.8776589216056828,0.6096154068129628
14.999999999999998,Born,spheroid interior,0.7594272371714377,0.5699137265594586
14.999999999999998,Rytov,whole xz window,0.09000458159580284,0.05808362192959972
14.999999999999998,Rytov,spheroid interior,0.06024772830489612,0.041188008776700716
14.999999999999998,Scalar exact,whole xz window,0.02687167669787338,0.01939881293953956
14.999999999999998,Scalar exact,spheroid interior,0.03444415210548476,0.024480608698805667
