outer,inner,objective,data_residual,primal_or_step,dual,cg_residual,cg_iterations
1,1,4.05402349827471e-06,0.030331945665954,0.196835816632355,0,9.09431965912122e-05,58
1,2,1.77404146587344e-06,0.0200649934299287,0.0193069807105605,0,9.16296302985977e-05,19
1,3,1.00049488362849e-06,0.0150683109786659,0.0112684218159441,0,9.92669327938551e-05,16
1,4,6.54981258960651e-07,0.0121919051514981,0.00791855554302887,0,8.87966479435203e-05,15
1,5,4.64987163561066e-07,0.010272534783509,0.00598815518189356,0,9.22922928762901e-05,14
1,6,3.4248725812911e-07,0.00881615765522607,0.00472394588348331,0,9.55174233401105e-05,12
1,7,2.67687581541905e-07,0.00779419470394499,0.00382136081208031,0,9.67730023037297e-05,11
1,8,2.20526027966097e-07,0.00707435852915031,0.00322425149730066,0,9.54947379686724e-05,11
1,9,1.83530048366319e-07,0.00645372904702821,0.00275666680490652,0,9.99329215481651e-05,10
1,10,1.59273493773282e-07,0.00601213732510809,0.00242864550308065,0,8.21328271165563e-05,10
1,11,1.40376890238244e-07,0.00564423317640029,0.00216881672230989,0,8.354364982258e-05,10
1,12,1.21912071412891e-07,0.0052599364096164,0.00191871097087082,0,9.75521900524898e-05,9
1,13,1.0929488493832e-07,0.00498031780730714,0.00171932689056267,0,9.66656320806041e-05,9
1,14,9.55987087110602e-08,0.00465782482889536,0.00155249603236738,0,9.87181056583134e-05,8
1,15,8.68900439592159e-08,0.00444060503477468,0.00138468854671188,0,9.83536999094808e-05,8
1,16,7.76031581961128e-08,0.00419659285157255,0.00127075346097249,0,9.97609890304223e-05,7
1,17,7.38626917223595e-08,0.00409420612497677,0.00124423258554686,0,9.6768095751288e-05,8
1,18,6.74106424958611e-08,0.00391130219543595,0.0011003822659648,0,9.51023674381165e-05,7
1,19,6.28327805116738e-08,0.00377615904682797,0.00100439375975773,0,9.52562927516052e-05,7
1,20,5.91456397659126e-08,0.00366368819763444,0.000949804398980693,0,9.38534711825868e-05,7
1,21,5.60044733171308e-08,0.00356507357561069,0.000902702931669828,0,9.19760765295516e-05,7
1,22,5.32450753832759e-08,0.00347613681836524,0.000861827062752165,0,9.00629174657473e-05,7
1,23,5.07912514387036e-08,0.00339509237529775,0.000824272561304019,0,8.8201416291368e-05,7
1,24,4.85890358027958e-08,0.00332067428505139,0.000790261869655451,0,8.64004846893005e-05,7
1,25,4.66042265142966e-08,0.00325214417592967,0.000758737623554654,0,8.46820340385462e-05,7
1,26,4.47882470030363e-08,0.00318815311567072,0.000730679006022232,0,8.30461249513318e-05,7
1,27,4.31248654728893e-08,0.00312839090907886,0.000704330448093062,0,8.1493223266182e-05,7
1,28,4.1588918676301e-08,0.00307217501525323,0.000681014664943777,0,8.00201893552684e-05,7
1,29,4.01555188844684e-08,0.00301876815254809,0.000659951189907122,0,7.86190424442933e-05,7
1,30,3.71860534028333e-08,0.00290500699755506,0.000631941659820212,0,9.98578514629134e-05,6
1,31,3.67517113545186e-08,0.00288799157531488,0.000667400227427416,0,7.87836525632712e-05,7
1,32,3.44621987813537e-08,0.00279658890356794,0.000583688199304348,0,9.76543051109228e-05,6
1,33,3.28678894434467e-08,0.00273113424173379,0.000525454422679978,0,9.79552003161782e-05,6
1,34,3.16192479104926e-08,0.00267875445527233,0.000507136649992869,0,9.78553315776834e-05,6
1,35,3.05752965816238e-08,0.00263416198380814,0.000492688573896861,0,9.70009243250644e-05,6
1,36,2.96606739338094e-08,0.00259446398147446,0.000479649009248783,0,9.59755844751807e-05,6
1,37,2.88377749690584e-08,0.00255822072399552,0.000467217051920058,0,9.48627745801491e-05,6
1,38,2.80808101505672e-08,0.00252442199335019,0.000455919415620727,0,9.37304736626441e-05,6
1,39,2.73740417919631e-08,0.00249245084155732,0.000445724885535251,0,9.26000905890831e-05,6
1,40,2.55003166963044e-08,0.00240563606250485,0.000460667228031353,0,9.97714685469596e-05,5
1,41,2.53861953630296e-08,0.00240024706591613,0.000481053199736621,0,9.27077542042761e-05,6
1,42,2.39375014209529e-08,0.00233075458418318,0.000431744011808813,0,9.89135884766201e-05,5
1,43,2.40330844275498e-08,0.00233540332712854,0.000474594313068997,0,9.14702105554073e-05,6
1,44,2.27520135248245e-08,0.00227230726570606,0.000412082349442374,0,9.71818405016966e-05,5
1,45,2.18821063246535e-08,0.00222844387479006,0.000348508737496313,0,9.87063041351682e-05,5
1,46,2.11996152416271e-08,0.0021934166102249,0.000336786441753464,0,9.91427319959415e-05,5
1,47,2.06318173674637e-08,0.00216384366790358,0.000329011560454021,0,9.88388878780959e-05,5
1,48,2.01389422159598e-08,0.00213784131806932,0.000322533608792524,0,9.83115372330129e-05,5
1,49,1.96985746224633e-08,0.00211433860512119,0.000316694640255427,0,9.76523526647078e-05,5
1,50,1.92989178162055e-08,0.00209278019573545,0.000311080069143497,0,9.69254214765521e-05,5
1,51,1.89285172661843e-08,0.00207259972554662,0.000305927767995707,0,9.61605139012422e-05,5
1,52,1.85817249335748e-08,0.00205352574507198,0.000301027559405355,0,9.53800747662523e-05,5
1,53,1.82538506660103e-08,0.0020353278965779,0.000296373694431948,0,9.45960506547297e-05,5
1,54,1.79427289616679e-08,0.00201790811546169,0.000291776396050236,0,9.38156875234881e-05,5
1,55,1.76464576284454e-08,0.0020011788642105,0.000287299547061575,0,9.30402062377219e-05,5
1,56,1.73620777871349e-08,0.00198498846492997,0.000283192214503434,0,9.22747698359034e-05,5
1,57,1.70887872050807e-08,0.0019693039837564,0.00027921859313914,0,9.15233377749411e-05,5
1,58,1.68251103418917e-08,0.00195405192063589,0.000275282880333931,0,9.07864939440526e-05,5
1,59,1.65716438205893e-08,0.00193927738831915,0.000271423491270197,0,9.00644711615949e-05,5
1,60,1.63275301849678e-08,0.00192494083773924,0.000267638254047353,0,8.93533945936591e-05,5
1,61,1.60923999273651e-08,0.0019110301859731,0.00026391926609678,0,8.86559217996417e-05,5
1,62,1.58645572140354e-08,0.00189745338867355,0.000260378332298017,0,8.79726951684078e-05,5
1,63,1.56447441964662e-08,0.00188426235576994,0.000256864493592281,0,8.73027119821181e-05,5
1,64,1.54325480653796e-08,0.00187144021481179,0.00025339061966804,0,8.66466578123216e-05,5
1,65,1.52267895449664e-08,0.00185892261594681,0.000250062948163007,0,8.60043707144136e-05,5
1,66,1.5026480527938e-08,0.00184665503709484,0.000246917080151056,0,8.53730066549699e-05,5
1,67,1.48327503677844e-08,0.00183471234171719,0.000243739802560727,0,8.47541368419372e-05,5
1,68,1.46452047156914e-08,0.00182307636986394,0.000240627870116425,0,8.41481146250025e-05,5
1,69,1.44628616147213e-08,0.00181169152992093,0.000237658143296847,0,8.35539498392413e-05,5
1,70,1.42859704099164e-08,0.00180057829913784,0.000234733350084332,0,8.29713708720519e-05,5
1,71,1.35341170486791e-08,0.00175255680132864,0.000269705927818092,0,9.99742530858213e-05,4
1,72,1.30568617694079e-08,0.0017213791633866,0.000208386257822021,0,9.88017817782379e-05,4
1,73,1.26935005375973e-08,0.00169725791014748,0.000197226043007013,0,9.92963091892226e-05,4
1,74,1.24024733938024e-08,0.00167768835689661,0.000191408064810229,0,9.90031646362304e-05,4
1,75,1.21592813251025e-08,0.001661158573035,0.000187446524169013,0,9.87462850031442e-05,4
1,76,1.19496985237096e-08,0.00164678010992903,0.000184556042993289,0,9.8353452216163e-05,4
1,77,1.17646730838037e-08,0.00163398125606384,0.000182168085619397,0,9.7928726118878e-05,4
1,78,1.15980367546405e-08,0.00162236802719817,0.000180120225760238,0,9.74696225476088e-05,4
1,79,1.14458190467448e-08,0.00161168653044011,0.000178159843750287,0,9.69953590221547e-05,4
1,80,1.13048107393115e-08,0.00160172806973272,0.000176386627707917,0,9.65096087494766e-05,4
1,81,1.11727369077823e-08,0.00159234410582725,0.000174702977797456,0,9.60172568907542e-05,4
1,82,1.10479719653929e-08,0.00158342836433485,0.000173046325478734,0,9.55217887771993e-05,4
1,83,1.09299097480403e-08,0.0015749451248594,0.000171323963088338,0,9.50264473618368e-05,4
1,84,1.08170049466911e-08,0.00156678950096684,0.000169833339145398,0,9.45326832204218e-05,4
1,85,1.07081607914549e-08,0.00155888680289375,0.000168363533327239,0,9.40426010165868e-05,4
1,86,1.06035192874925e-08,0.00155125128360928,0.000166855895175016,0,9.35560734573175e-05,4
1,87,1.05022221858525e-08,0.00154382382734033,0.000165439123711824,0,9.30720145871401e-05,4
1,88,1.04043676283504e-08,0.00153661469848466,0.000163933386193489,0,9.25948972880354e-05,4
1,89,1.03096505822942e-08,0.00152960435586188,0.000162498664274241,0,9.2121982670596e-05,4
1,90,1.02174816762569e-08,0.00152275162733013,0.000161115806647367,0,9.16538599756912e-05,4
1,91,1.01279151015013e-08,0.00151606270617349,0.000159686801391276,0,9.11927877887623e-05,4
1,92,1.00405526008837e-08,0.00150950983298052,0.000158345825659606,0,9.07372455022529e-05,4
