outer,inner,objective,data_residual,primal_or_step,dual,cg_residual,cg_iterations
1,1,3.1771528927873e-06,0.0251897418000317,0.0812286550736755,0.0047184679839397,8.12517717861046e-06,18
1,2,2.70690404282635e-06,0.0199193738746329,0.0480588384684941,0.0021317986242184,9.0242668235017e-06,16
1,3,2.48490414695372e-06,0.0164436034028828,0.0300088763610749,0.00153009673573654,7.40119572336312e-06,15
1,4,2.31855382669477e-06,0.0135051074163592,0.0195722215907722,0.00135397884016154,6.75839043889611e-06,14
1,5,2.21055503063484e-06,0.0113372789317655,0.0133371603127113,0.00122059435591146,7.94325522369556e-06,13
1,6,2.14102313753133e-06,0.00973422205412553,0.0106297000161474,0.00108935775854564,7.59543275884396e-06,13
1,7,2.09171434780244e-06,0.00848015674398678,0.00966376084341038,0.000974149160575989,9.02018902638579e-06,12
1,8,2.05418421042044e-06,0.00750284815566712,0.00925936567939965,0.000876234182365626,8.11656137098234e-06,12
1,9,2.02286454649213e-06,0.00674965270528056,0.00898166327997974,0.000794663260091527,6.69552240993252e-06,12
1,10,1.99512117763517e-06,0.00617747617550362,0.00861947678388888,0.00072878972209238,8.93032443853315e-06,11
1,11,1.97005018289833e-06,0.00575703703030179,0.00804680625111872,0.000678944370815583,7.77410905358082e-06,11
1,12,1.94786813109661e-06,0.00545897753994809,0.00731528506441435,0.000638605646007343,6.40024278907608e-06,11
1,13,1.92794042771522e-06,0.00525157227886687,0.0065640790309779,0.000604847234749862,9.13358958156617e-06,10
1,14,1.90968112964164e-06,0.00511147070859777,0.00596326953547913,0.000574936028543963,8.3680520111512e-06,10
1,15,1.89291576661546e-06,0.00502424069958047,0.0055413892770983,0.000548743549501538,7.45393702587923e-06,10
1,16,1.87739429306522e-06,0.00497883462425456,0.00521005834295654,0.000525109423382445,8.32961535870398e-06,9
1,17,1.86256001920052e-06,0.00496902728439625,0.00492005949164461,0.000504688649539796,6.75070166913947e-06,9
1,18,1.84785129435417e-06,0.004990071362361,0.00462102714638774,0.000488227828702888,6.07518259240308e-06,9
1,19,1.83359123272403e-06,0.00503755575126348,0.00433090469720696,0.000473491365150123,8.68895234669262e-06,8
1,20,1.82046352706459e-06,0.00510628677013708,0.00406173246767043,0.000461109065617915,8.44378417559526e-06,8
1,21,1.80940475355416e-06,0.00518666122904161,0.00387350393742883,0.000448207431736914,7.40519692871438e-06,8
1,22,1.80089759968885e-06,0.00527271613983518,0.00382563721733846,0.000433204994002047,6.47307167551231e-06,8
1,23,1.79386401838441e-06,0.00536169968755674,0.00385689753127069,0.000418802138779596,6.77045974145299e-06,8
1,24,1.78759829075044e-06,0.00545238940052997,0.00391549336493897,0.000404044523068537,6.35960951088859e-06,8
1,25,1.78170047614857e-06,0.00554363787632993,0.0039825590074475,0.000389774021288001,6.3417461094931e-06,8
1,26,1.7757302891208e-06,0.0056347066382744,0.00400231278657285,0.000378047284005751,6.31556515213667e-06,8
1,27,1.77015010368945e-06,0.00572553602872247,0.00400441380619661,0.000365847290560456,6.32542541629236e-06,8
1,28,1.76460902166514e-06,0.00581607409419702,0.00400616291567422,0.000354243365682647,6.34575933091659e-06,8
1,29,1.75879144224434e-06,0.00590625439145437,0.00396772908953604,0.000344967692774853,6.35242855732568e-06,8
1,30,1.7538105843019e-06,0.00599593384653635,0.0039357971831388,0.000333680876521905,6.35828807624305e-06,8
1,31,1.74930504647139e-06,0.00608489079085814,0.00392086809397631,0.000322546958435679,6.35934658616826e-06,8
1,32,1.74398254609601e-06,0.00617291568101399,0.00384800317348984,0.000315421186787282,6.34113761786365e-06,8
1,33,1.73897485425235e-06,0.00625981185378934,0.00376850438836625,0.00030634034906696,6.32134527002161e-06,8
1,34,1.73516363175744e-06,0.00634542945405595,0.003732785965889,0.000294707386222217,6.3029987906294e-06,8
1,35,1.73153640570331e-06,0.00642965893775753,0.00366682243550617,0.00028586424009364,6.29511434404169e-06,8
1,36,1.72743112802641e-06,0.00651248615653002,0.00356667403735961,0.000279263537894219,6.2742759326312e-06,8
1,37,1.7235710478674e-06,0.00659383602792696,0.00348646223237076,0.00027081544999911,6.25253780280431e-06,8
1,38,1.7203066441167e-06,0.00667379594561788,0.00341963544530054,0.000261584729720921,6.21626745143387e-06,8
1,39,1.71730026083765e-06,0.0067523367148396,0.00334069232029922,0.00025357638170641,6.18646273226836e-06,8
1,40,1.71450732875415e-06,0.00682934056919309,0.00325612867219784,0.000245766773954706,6.14292790847594e-06,8
1,41,1.71185741392389e-06,0.00690485414747168,0.00316493653495756,0.000238294702389572,6.10422940146114e-06,8
1,42,1.7093409020887e-06,0.00697875193434032,0.00306127844104505,0.000231165509082223,6.08748170489276e-06,8
1,43,1.70706316430225e-06,0.00705016535121316,0.00295355785326999,0.000223766867866957,9.57830565470624e-06,7
1,44,1.70508436198342e-06,0.00712006638183614,0.00284669226762551,0.00021628178217479,7.91831629809107e-06,7
1,45,1.70329303635714e-06,0.00718767199853669,0.00272903077215257,0.00020937522008377,8.66683761423898e-06,7
1,46,1.70163141641469e-06,0.00725277429915495,0.00261235497992469,0.000203128571327874,8.43747065695341e-06,7
1,47,1.70012374355962e-06,0.00731565709296821,0.00250985768987726,0.000196931736429887,7.70839743920243e-06,7
1,48,1.69888939401669e-06,0.0073763900134385,0.00243019024680463,0.000190183785790266,7.85319514014909e-06,7
1,49,1.69777503619699e-06,0.00743610512321374,0.00236294026429121,0.000183783072490128,6.92614412133739e-06,7
1,50,1.69669974083272e-06,0.00749453993231283,0.00229850089345113,0.000177888816668054,7.13582914385133e-06,7
1,51,1.69564581368071e-06,0.00755216438319965,0.00223687188367967,0.000172412010829199,6.68063369175125e-06,7
1,52,1.69467605060928e-06,0.00760902372940532,0.00217741945124985,0.000166934324417204,6.17099245329418e-06,7
1,53,1.69381103074935e-06,0.00766429629207419,0.00211896331405816,0.000161505311425476,6.64061935714958e-06,7
1,54,1.69305005903459e-06,0.00771824611645898,0.00206149720270802,0.000156291730620828,6.59118794239547e-06,7
1,55,1.69234863254847e-06,0.00777049931228716,0.00201003791209285,0.000151406006903977,6.45248610104476e-06,7
1,56,1.69169537883245e-06,0.0078209152782273,0.00196433942038941,0.000146704426930342,8.66846408629089e-06,6
1,57,1.6910939100261e-06,0.00786953420939451,0.0019260670525164,0.000142264493604145,8.94304636832562e-06,6
1,58,1.69055705650028e-06,0.00791581437444369,0.00189600533682151,0.000137949840845937,7.60203723078313e-06,6
1,59,1.69007079421502e-06,0.00796037558370797,0.00187013319821865,0.000133854139579217,7.94833371462283e-06,6
1,60,1.68959231761707e-06,0.0080028117414912,0.00184740462282454,0.000130073713007647,6.98136699165223e-06,6
1,61,1.68914517004049e-06,0.00804355976784644,0.00182680291358899,0.000126487662049094,7.2140237001331e-06,6
1,62,1.68870171566171e-06,0.00808236567015214,0.00180849576398584,0.000123151708240937,6.25399610056782e-06,6
1,63,1.68824830119241e-06,0.00811916481495847,0.00179012678413597,0.000119840428161547,9.55136102611376e-06,5
1,64,1.68783566066573e-06,0.00815490338090403,0.00177413738016879,0.000116898123091767,7.94291477917741e-06,5
1,65,1.68743602965283e-06,0.00818907715509882,0.00175957179185297,0.000114000656433071,8.90427740056744e-06,5
1,66,1.68705279503732e-06,0.0082218353822732,0.00174641692981114,0.000111335764659006,7.71835417485608e-06,5
1,67,1.68663905856526e-06,0.00825340335936223,0.00173248709472852,0.000108818212022767,8.67053817306078e-06,5
1,68,1.68620317742307e-06,0.00828326301537555,0.00171775088293004,0.000106505737857224,7.68319524982144e-06,5
1,69,1.6857436212309e-06,0.008311956323995,0.0017026328420691,0.000104329238806745,8.28729736558542e-06,5
1,70,1.6852652892649e-06,0.0083397020965015,0.00168774911733051,0.000102338631053042,7.07574603455944e-06,5
1,71,1.6847377584728e-06,0.00836585365166041,0.00167114398917066,0.000100414319785832,7.92330576822453e-06,5
1,72,1.68419447486882e-06,0.00839101988351541,0.00165460539983243,9.86262782484622e-05,7.19150504417207e-06,5
1,73,1.68362799034509e-06,0.00841534058830832,0.00163795185987478,9.69816327802806e-05,6.58140879707696e-06,5
1,74,1.68301581004673e-06,0.0084381128909466,0.00161927253350832,9.53891355071818e-05,6.54857314065952e-06,5
1,75,1.68238548452119e-06,0.00846003584564138,0.0016006872162914,9.38640346109876e-05,6.4119416532683e-06,5
1,76,1.68173559190664e-06,0.00848095250661513,0.0015817264403514,9.24357598177438e-05,6.26113910955122e-06,5
1,77,1.68105535598277e-06,0.00850100934520705,0.00156162076743394,9.10802907244257e-05,6.34415855065295e-06,5
1,78,1.68036054444883e-06,0.00851996586279516,0.00154062971956121,8.98257917788228e-05,6.25532847369781e-06,5
1,79,1.67965602389418e-06,0.00853801752754744,0.00151901459161802,8.86445789024213e-05,6.46519297757925e-06,5
1,80,1.67893316566333e-06,0.00855539453853609,0.00149651668811854,8.74893931794309e-05,6.27798028740334e-06,5
1,81,1.67820153898336e-06,0.00857158671586009,0.00147242345293295,8.64272159262685e-05,6.32677380751564e-06,5
1,82,1.67746807860424e-06,0.00858700639442184,0.00144772088015782,8.54412663710077e-05,6.18576860756989e-06,5
1,83,1.67672858551489e-06,0.0086017196404213,0.00142244185315483,8.44946207636322e-05,6.22089651348202e-06,5
1,84,1.67598263499046e-06,0.0086153698053479,0.00139614941469659,8.3560830918869e-05,5.88676162628826e-06,5
1,85,1.67524320976314e-06,0.00862822652027096,0.00136945212168814,8.26571525825057e-05,6.0022837575264e-06,5
1,86,1.67450210071296e-06,0.00864049587130986,0.00134210574685062,8.1783495169058e-05,5.68026706843758e-06,5
1,87,1.67376220027952e-06,0.00865178050790128,0.00131427273037598,8.09190843199946e-05,5.75103221833811e-06,5
1,88,1.67302075933581e-06,0.00866245092058703,0.00128509222172553,7.98959397908042e-05,9.34227968256302e-06,4
1,89,1.67226559645182e-06,0.00867266577080884,0.00125696045823758,7.90506514412895e-05,9.48914354968494e-06,4
1,90,1.67155351710522e-06,0.00868223075825883,0.00122925633902602,7.82177606244905e-05,7.65603859075515e-06,4
1,91,1.67083465481685e-06,0.00869122608763487,0.00120272087339702,7.74208219404524e-05,7.75839862949082e-06,4
1,92,1.6701480342095e-06,0.00869938265528144,0.00117503129720279,7.637233048522e-05,8.7002987886989e-06,4
1,93,1.66946775947242e-06,0.00870707461999591,0.00114909916827101,7.55927620270439e-05,7.17243105175416e-06,4
1,94,1.66882140127422e-06,0.00871409689605752,0.00112245137596274,7.45985353950821e-05,8.15841188961084e-06,4
1,95,1.66818162903736e-06,0.00872067564351088,0.00109778995135064,7.38111156015618e-05,7.01948384281628e-06,4
1,96,1.66756872383797e-06,0.00872671986637793,0.00107184831417747,7.2758581739346e-05,8.24472590776304e-06,4
1,97,1.66696644040231e-06,0.00873236936719167,0.00104829944568605,7.19503222407001e-05,6.94416298224405e-06,4
1,98,1.66638555003594e-06,0.00873755054533447,0.00102330616216637,7.08531376478386e-05,8.81883123177233e-06,4
1,99,1.66581639464134e-06,0.00874238935751958,0.00100134037086237,6.99823954536297e-05,7.73943448993771e-06,4
1,100,1.66527622925706e-06,0.00874667257929266,0.000980186645522006,6.91887456987915e-05,3.96833466479443e-06,5
1,101,1.66472841113346e-06,0.0087507669113942,0.000956265279882039,6.81486273755338e-05,6.93811340827194e-06,4
1,102,1.66418750046662e-06,0.00875431272201201,0.000933118999114254,6.71947500373071e-05,7.05093583815562e-06,4
1,103,1.66368224958923e-06,0.0087580775998808,0.000911542264152315,6.63594878995165e-05,5.74939828783266e-06,4
1,104,1.66317817048266e-06,0.00876141800445535,0.000890370456589433,6.53981044568823e-05,6.50314579304308e-06,4
1,105,1.66268499737289e-06,0.00876456841846363,0.000868282410973101,6.42724249993692e-05,9.32081811604469e-06,3
1,106,1.66222155267965e-06,0.00876747539495471,0.000849977152584128,6.35033362209008e-05,8.35398212116134e-06,3
1,107,1.66177505911237e-06,0.00877004942585178,0.000830267858784568,6.26099086997326e-05,6.62954764662332e-06,4
1,108,1.66133883897775e-06,0.00877236342978306,0.000810547124402349,6.16954569465305e-05,7.57334008427326e-06,4
1,109,1.66092785159689e-06,0.00877464044655215,0.000791285286869637,6.07708560891736e-05,8.0554633984199e-06,4
1,110,1.66053795730661e-06,0.00877648704283497,0.000772859218011928,5.97319271517335e-05,9.55154825929364e-06,4
1,111,1.66017237779508e-06,0.00877832433201153,0.000755718425983091,5.92948723559616e-05,5.14584511668236e-06,5
1,112,1.65980442972239e-06,0.00877971430730379,0.00073495334380977,5.82927217430952e-05,8.21212083569313e-06,4
1,113,1.65944553973687e-06,0.00878152207381779,0.000717369866921163,5.76165887787703e-05,5.8138051204846e-06,4
1,114,1.65908971677787e-06,0.00878324665225212,0.000698494240098412,5.64006429778935e-05,9.34748275336958e-06,3
1,115,1.65879453663044e-06,0.008784767122719,0.000685454255812614,5.5738286000555e-05,9.02755912210935e-06,4
1,116,1.65848440924719e-06,0.00878552821103303,0.000668108878925369,5.52982422750484e-05,4.03974361212932e-06,5
1,117,1.65816810559853e-06,0.00878633483155492,0.000649746260236795,5.44763410506702e-05,6.10789083233273e-06,4
1,118,1.65786608138111e-06,0.00878742708231684,0.000633352643029682,5.37198701273061e-05,5.457614231042e-06,4
1,119,1.65757474380198e-06,0.0087888120371376,0.000617521336016217,5.27866383924872e-05,7.36329224146015e-06,3
1,120,1.65731325407533e-06,0.00878945543563868,0.000603986676757916,5.18768840954387e-05,8.09199417979995e-06,3
1,121,1.65706172983272e-06,0.00879000412949514,0.000591128920375996,5.10885865827506e-05,7.40981395442627e-06,4
1,122,1.65682308080399e-06,0.00879061836986669,0.000576331325068093,5.02198950000107e-05,8.89115136094577e-06,4
1,123,1.65659461417625e-06,0.00879121846813249,0.000563964733231374,4.94401759779441e-05,8.36188432500458e-06,4
1,124,1.65637685584032e-06,0.00879162251601373,0.000550670098640713,4.93296352262168e-05,5.03103405847555e-06,5
1,125,1.65614838443472e-06,0.00879206833944051,0.00053625293151376,4.84959076737569e-05,5.68801708692681e-06,4
1,126,1.65593776217376e-06,0.00879267082295984,0.000524416712205635,4.76328020519704e-05,8.34567568138445e-06,3
1,127,1.65573614709255e-06,0.0087930646162644,0.000513808776502886,4.67046551739321e-05,8.58518178974987e-06,3
1,128,1.65553996862273e-06,0.00879299219160505,0.000503974764496395,4.60468451164428e-05,6.62236630598299e-06,4
1,129,1.65535307097704e-06,0.00879299175548063,0.000492999512656724,4.52849426787989e-05,7.90941989460821e-06,4
1,130,1.65517033662041e-06,0.0087928727914594,0.000482929347867804,4.45379356403313e-05,7.94611925534316e-06,4
1,131,1.65499749682654e-06,0.00879287496982465,0.000474095776116728,4.37266429412673e-05,9.30752723043326e-06,4
1,132,1.65483296976311e-06,0.00879249442286529,0.000463919659719291,4.37369336981529e-05,5.75099860190471e-06,5
1,133,1.65466402469837e-06,0.00879230432016293,0.000452534952701906,4.30366491460621e-05,6.30848028084196e-06,4
1,134,1.6545198259141e-06,0.0087925655512812,0.000444442198517046,4.22351422448823e-05,9.19938440449027e-06,3
1,135,1.65435862074661e-06,0.00879206432137664,0.000436857984863807,4.15459490272316e-05,7.48745604866082e-06,4
1,136,1.65421677073323e-06,0.0087916168164155,0.000428890877212964,4.07987145707326e-05,9.28027804424963e-06,4
1,137,1.65406022478265e-06,0.00879105246762545,0.000421108938504609,3.99432695798089e-05,9.18355058956666e-06,4
1,138,1.65392287816037e-06,0.00879015559281955,0.000412619720096269,4.01925952644034e-05,4.25965836948542e-06,5
1,139,1.65375060510558e-06,0.00878994000095163,0.000400491306551527,3.91403563189434e-05,7.47405108781856e-06,3
1,140,1.65364352717083e-06,0.00878870348753748,0.000398028959373301,3.87414707266286e-05,7.139225183317e-06,3
1,141,1.65348992783635e-06,0.00878794508642728,0.000387822854164118,3.80158422827665e-05,7.53735330750631e-06,4
1,142,1.6533504678782e-06,0.00878701485477086,0.0003813514716697,3.75651521429691e-05,6.64321861919193e-06,4
1,143,1.65321201838983e-06,0.00878610169615185,0.000373497871194428,3.67896044892925e-05,7.76352434779763e-06,4
1,144,1.65308037797335e-06,0.00878507182744692,0.000367637483676255,3.6176938999666e-05,8.26116443033625e-06,4
1,145,1.65295751462726e-06,0.00878412645093825,0.000360467236662178,3.53486595646385e-05,9.43784456937096e-06,4
1,146,1.65285619751911e-06,0.00878300264196365,0.000352993200435352,3.57683882250627e-05,4.50761650946168e-06,5
1,147,1.65273491959924e-06,0.00878233901004043,0.000343410009122136,3.47915059110929e-05,7.22698757945778e-06,3
1,148,1.65267989817019e-06,0.00878078606541536,0.000342458073272726,3.43509579265909e-05,6.55827604437861e-06,3
1,149,1.65258481663401e-06,0.00877951435434733,0.000333944268160121,3.37102278005026e-05,8.52269527874782e-06,4
1,150,1.65249321925308e-06,0.00877842977953253,0.00032906647771282,3.3305036009598e-05,7.11813558398157e-06,4
1,151,1.65240924439275e-06,0.00877711698977905,0.000323020488994599,3.26070955250328e-05,7.97479099565852e-06,4
1,152,1.65232472508267e-06,0.0087758763627397,0.000318219171790422,3.20507948235798e-05,8.47814475725061e-06,4
1,153,1.65225109452328e-06,0.00877456920485739,0.000312586079222789,3.13264424613437e-05,9.08587876781002e-06,4
1,154,1.65217579219787e-06,0.0087732666563486,0.000305546886556541,3.19535643517601e-05,4.63491507937501e-06,5
1,155,1.65207398908941e-06,0.00877232707975467,0.000296999453501592,3.11509894666463e-05,6.58726242407304e-06,3
1,156,1.65203071123536e-06,0.00877055233406138,0.000296783503165516,3.06185633318015e-05,7.25541816911852e-06,3
1,157,1.65195877920118e-06,0.00876917174770622,0.000289609854577277,3.01772065194855e-05,7.55726246357707e-06,4
1,158,1.65189698969906e-06,0.00876773473944821,0.000285194088725582,2.98237279214955e-05,6.80793808795304e-06,4
1,159,1.65184041684735e-06,0.00876637366195974,0.000280639904355781,2.92069322800688e-05,7.13181805641163e-06,4
1,160,1.651784122707e-06,0.00876528842519449,0.000278557091593664,2.78362384127226e-05,9.46849176852533e-06,3
1,161,1.65174841421804e-06,0.00876366651542369,0.000271060173292683,2.91317680645716e-05,3.78244130296184e-06,5
1,162,1.65170428459159e-06,0.00876242272074919,0.000265923943703084,2.821304696613e-05,7.14323586157305e-06,3
1,163,1.65167523969432e-06,0.00876066351987178,0.00026456445079172,2.80361261248748e-05,7.45592934338739e-06,4
1,164,1.65162157490445e-06,0.00875946697761609,0.000259841510014775,2.67822994015274e-05,9.44287182172158e-06,3
1,165,1.65161985150128e-06,0.00875819977771781,0.000257949651901057,2.70809693034749e-05,8.18781005917078e-06,4
1,166,1.651571943794e-06,0.00875669717357251,0.000253137279793663,2.66537298390021e-05,6.95488248048644e-06,4
1,167,1.65153386491298e-06,0.00875559574163638,0.000253512307587254,2.5438199517443e-05,8.3347330406332e-06,3
1,168,1.65151719037515e-06,0.00875429965924104,0.000247931177426814,2.58130570340604e-05,8.99220973445083e-06,4
1,169,1.6514696624041e-06,0.00875291722084934,0.000243552206464473,2.55809407122879e-05,6.63076631385458e-06,4
1,170,1.65143114966848e-06,0.00875164896382825,0.000243597852992026,2.43023586579882e-05,8.5729404526376e-06,3
1,171,1.65142070129004e-06,0.00875050774851317,0.000238195883101788,2.47793157584087e-05,8.21251716624674e-06,4
1,172,1.65137160165284e-06,0.00874903086274203,0.000233935622187403,2.4611167436857e-05,7.30677935146767e-06,4
1,173,1.65133023773417e-06,0.00874830113025796,0.000233860355996924,2.34822958882284e-05,7.97063209877846e-06,3
1,174,1.65131404368368e-06,0.00874709370710032,0.000229314702470373,2.37461525188109e-05,8.20183894175339e-06,4
1,175,1.65127820974081e-06,0.00874575332158516,0.000225559971056278,2.35693578689249e-05,6.97978210818285e-06,4
1,176,1.65125345125217e-06,0.00874468526087884,0.000226060044823204,2.22585904674694e-05,9.26843624104919e-06,3
1,177,1.6512478597617e-06,0.00874372286238318,0.000221634755429406,2.25408279227149e-05,8.75062008369747e-06,4
1,178,1.65122340665597e-06,0.00874253766161802,0.000218844166160857,2.24033929702537e-05,7.37116036429477e-06,4
1,179,1.65120316062147e-06,0.00874190684951051,0.000219705440815327,2.08790977102476e-05,9.21619429394039e-06,3
1,180,1.65119461198373e-06,0.00874078715274092,0.000215795381139157,2.12254856652911e-05,9.43765037171738e-06,4
1,181,1.65118001126699e-06,0.00873984771962271,0.00021275126312538,2.12593740061887e-05,7.38393397078128e-06,4
1,182,1.65117074695089e-06,0.00873887804171852,0.000211248776779855,2.11087887782207e-05,8.0840234868652e-06,4
1,183,1.65114894583721e-06,0.00873795916406969,0.000208259057183648,2.07958547313545e-05,7.36722570280534e-06,4
1,184,1.651131571191e-06,0.00873706252471927,0.000208877641116707,1.93771003723123e-05,9.37252140983659e-06,3
1,185,1.65111316184116e-06,0.00873626091221146,0.000203873276472779,2.01256140517324e-05,9.50650148275288e-06,4
1,186,1.65108478948942e-06,0.00873543926989627,0.000200797377368891,2.02472932673848e-05,6.61373456258604e-06,4
1,187,1.65106429721982e-06,0.00873494306655293,0.000202141607023131,1.87778508473637e-05,8.23883227840118e-06,3
1,188,1.65103477058571e-06,0.00873393127253012,0.000196400216129376,1.97601474228576e-05,8.82007787745562e-06,4
1,189,1.65099666520569e-06,0.00873326324412513,0.000193618243084469,1.8939495714988e-05,9.21289937475348e-06,3
1,190,1.65098943753813e-06,0.00873246205376356,0.000193950750380072,1.90063498668415e-05,6.8130961990262e-06,4
