outer,inner,objective,data_residual,primal_or_step,dual,cg_residual,cg_iterations
1,1,3.17709026589947e-06,0.0251886024629727,0.0812282463098485,0.00471851958583505,8.41555060525845e-07,23
1,2,2.70696051978003e-06,0.0199209882625356,0.04805891166886,0.00213144222978267,6.6879177444376e-07,22
1,3,2.48498811906727e-06,0.0164452269958833,0.0300094881611418,0.00152988507084762,8.76473370997654e-07,20
1,4,2.31868535583063e-06,0.0135079524882408,0.0195729473259404,0.00135382812477242,8.55771155238795e-07,19
1,5,2.21071347417347e-06,0.0113407897242224,0.0133369272325452,0.0012205102041905,8.37930616697577e-07,18
1,6,2.14120584736547e-06,0.00973792417328243,0.0106300797675854,0.00108940465864709,7.72788204781471e-07,18
1,7,2.0919106259731e-06,0.00848474461765236,0.00966374374075794,0.000974308122674175,7.00800453779659e-07,18
1,8,2.05433230158878e-06,0.00750679123766305,0.00925909184940109,0.000876411907808061,9.42861119586825e-07,17
1,9,2.02295497119897e-06,0.00675316529680464,0.00898059916545341,0.000794820506302039,7.73152152419793e-07,17
1,10,1.99516496118843e-06,0.00618130612309681,0.00861727081300647,0.000728970726368271,6.58350905012645e-07,17
1,11,1.97005132883785e-06,0.00576058918330602,0.00804399920636712,0.000679096849347657,5.51880423744353e-07,17
1,12,1.94783691355935e-06,0.00546204110098605,0.00731302337814691,0.000638707775231736,8.87598433788446e-07,16
1,13,1.92790356837406e-06,0.00525538127579009,0.00656300042611301,0.000604940557728425,7.56204332481408e-07,16
1,14,1.90964754987819e-06,0.00511584647613462,0.00596354990900196,0.000574972059596004,9.07727237272451e-07,15
1,15,1.89289009126427e-06,0.00502882550897124,0.00554169261864464,0.000548735969991555,8.45229285756913e-07,15
1,16,1.87738019433259e-06,0.00498419336699874,0.0052107187859483,0.00052508799464836,7.38509317891304e-07,15
1,17,1.86255495904625e-06,0.00497471115600071,0.00492081444950797,0.000504648336718177,6.30308806858897e-07,15
1,18,1.84784100794827e-06,0.00499562892855943,0.00462097858818944,0.000488178311983879,8.86988194403982e-07,14
1,19,1.83357417116525e-06,0.00504391505059888,0.00433049865314368,0.000473475224574493,8.15561610577795e-07,14
1,20,1.82045689904537e-06,0.00511295803843329,0.0040618604259711,0.000461120437418137,7.87062798517325e-07,14
1,21,1.8094322942412e-06,0.00519317064929636,0.0038750643912634,0.000448163139736583,7.7432026784867e-07,14
1,22,1.80096568894595e-06,0.00527867892694419,0.00382901430532159,0.000433118930722926,6.77955063755837e-07,14
1,23,1.79395225741904e-06,0.00536734113879786,0.00386123037618418,0.000418720110667839,7.09991641963017e-07,14
1,24,1.78769759239001e-06,0.00545767044635244,0.00392066658241919,0.000403912020123687,6.32959950060806e-07,14
1,25,1.78179154983798e-06,0.0055484715586423,0.00398695461647354,0.000389694259923819,6.30353572543255e-07,14
1,26,1.77581108637339e-06,0.00563907647890399,0.00400535940145965,0.00037803278702117,6.22267080283821e-07,14
1,27,1.7702370644881e-06,0.00572939882313473,0.00400795844163425,0.000365789317869991,9.44867919997638e-07,13
1,28,1.76467507806487e-06,0.00581942598949579,0.004008630694943,0.00035428627310827,5.98904834661367e-07,14
1,29,1.75885280578281e-06,0.00590906379651272,0.00396929954132946,0.000345050842530335,6.06428069392838e-07,14
1,30,1.75390138956614e-06,0.00599815668099478,0.00393909951853391,0.000333657189275051,5.99312674346878e-07,14
1,31,1.74936383064496e-06,0.00608647986100708,0.00392308446149596,0.000322678553457863,9.50823429525749e-07,13
1,32,1.74399816431995e-06,0.00617386066673037,0.00384845869097535,0.000315644189096011,9.55267118935347e-07,13
1,33,1.73902520486623e-06,0.00626016183405414,0.00377094254970652,0.000306339922479463,6.43419664961082e-07,14
1,34,1.73521803624592e-06,0.00634517525182365,0.00373488561688377,0.000294767424973557,9.52364245710415e-07,13
1,35,1.73155302598398e-06,0.00642887439655077,0.00366709520711132,0.000286116037817927,6.44649709707777e-07,14
1,36,1.72741816196105e-06,0.00651116741660557,0.00356668486984213,0.000279471333846739,9.43240623769571e-07,13
1,37,1.72356235979812e-06,0.00659208036595369,0.00348759853782957,0.000270919180462674,6.47439215112117e-07,14
1,38,1.72029797974133e-06,0.00667157733397376,0.00342064863959576,0.000261699644213926,9.04774952197016e-07,13
1,39,1.7172742683801e-06,0.00674968890144163,0.00334056251795293,0.000253721675126269,9.42110524582544e-07,13
1,40,1.71446670197476e-06,0.0068262973037155,0.00325593237707186,0.000245888732788048,9.33414707793947e-07,13
