outer,inner,objective,data_residual,primal_or_step,dual,cg_residual,cg_iterations
1,1,1.75637551089418e-05,0.0477554228207312,0.0209095360140916,0.0300342355777747,5.25895083489866e-06,7
1,2,1.14074583589622e-05,0.0312993589825702,0.00743837685083458,0.0140658980537345,5.03495575941389e-06,7
1,3,1.00134742668035e-05,0.0262587505555999,0.00676701950712147,0.00800424637920343,2.74630497063681e-06,7
1,4,9.45016035551038e-06,0.0241196736079147,0.00480370008998408,0.0057760912646934,4.13900234526672e-06,6
1,5,9.1075959841475e-06,0.022713738534445,0.00320827769811612,0.00476705566065864,3.06971687303836e-06,6
1,6,8.85764721893301e-06,0.0215981547174241,0.00221027793859339,0.00414949552330368,5.48406558358863e-06,5
1,7,8.66080379397697e-06,0.0206560715135956,0.00178409449444009,0.00370216825351944,5.02689265149114e-06,5
1,8,8.50193305018672e-06,0.0198371832898552,0.00162795878825111,0.00334324117641698,4.54445796751961e-06,5
1,9,8.3696132256766e-06,0.0191261818129339,0.00159588526232574,0.00304313377115719,4.16833554521498e-06,5
1,10,8.25805105555114e-06,0.0185121917096367,0.00157118547768481,0.00278619987093489,3.52852456401336e-06,5
1,11,8.16204608929318e-06,0.0179775278088431,0.00151541413439202,0.00255866206564486,2.91511123731719e-06,5
1,12,8.07770216746805e-06,0.017504994864534,0.00142174944083587,0.00237106084824622,2.46010649154594e-06,5
1,13,8.00249938623001e-06,0.0170814083424543,0.00130953123606313,0.00221998666013289,2.1514954265382e-06,5
1,14,7.93482205450737e-06,0.016696260578247,0.00119725044909606,0.00209570166605684,6.30159348184698e-06,4
1,15,7.87289506876714e-06,0.0163435279075919,0.00108111846358153,0.00199718026802619,6.0106153447601e-06,4
1,16,7.81632042202568e-06,0.0160194566612988,0.000982487973697362,0.00191397433719218,5.61983417192612e-06,4
1,17,7.76396101297107e-06,0.0157184560058687,0.000885371189600873,0.0018430408138013,5.17618082791909e-06,4
1,18,7.71488945596666e-06,0.0154366570820573,0.000797211092491429,0.00178031784169547,4.90582834223112e-06,4
1,19,7.66864888952958e-06,0.0151707383811041,0.000724901338835075,0.00172515610429378,4.59087545590427e-06,4
1,20,7.6248688009552e-06,0.0149177823691165,0.000669438121548282,0.00167473310254719,4.26365449382701e-06,4
1,21,7.58339340957915e-06,0.014676165544626,0.000614073578015885,0.00162853049834103,3.97396831971953e-06,4
1,22,7.54415718581261e-06,0.0144445211597088,0.000560027531668114,0.00158606735581695,3.71182560013369e-06,4
1,23,7.50678429754768e-06,0.014221505096293,0.000509290495658274,0.00154711544505824,3.47231293694741e-06,4
1,24,7.47100964037352e-06,0.0140060745357783,0.00045941862843947,0.00151060023213447,3.24246704931839e-06,4
1,25,7.43658326036851e-06,0.0137971250093646,0.000417344457083272,0.00147604937705188,3.0180000896336e-06,4
1,26,7.40331760763833e-06,0.0135937322644084,0.000388410984343963,0.00144309711289824,2.81423401119707e-06,4
1,27,7.3711991178938e-06,0.0133954201938841,0.000364929440773126,0.00141212962193232,2.64894644501844e-06,4
1,28,7.34019036717582e-06,0.0132017803550056,0.000344188284523957,0.00138305080767986,2.51060822369045e-06,4
1,29,7.31026795226013e-06,0.0130124450174283,0.000326383620406512,0.00135583878237917,2.38921865860856e-06,4
1,30,7.28141615644152e-06,0.0128272453657458,0.000310999419027899,0.00132999860216863,2.2851302495584e-06,4
1,31,7.25369134269029e-06,0.0126461200586934,0.000297209404136872,0.00130540359671694,2.19080793595384e-06,4
1,32,7.22698767450482e-06,0.0124690690546479,0.000282788132377487,0.00128221348680133,2.10369013424347e-06,4
1,33,7.20118282004199e-06,0.0122958092549322,0.000268813316508891,0.001260039108615,6.82852221211744e-06,3
1,34,7.17615034593703e-06,0.0121264450525922,0.000255732146663142,0.00123918875757924,6.48002089881558e-06,3
1,35,7.15188456709678e-06,0.0119608822005764,0.000243378467326403,0.00121917000493493,6.20114651863912e-06,3
1,36,7.12830933039694e-06,0.0117989926694735,0.000230857071123242,0.00119990550116268,5.99391311582821e-06,3
1,37,7.10538925088743e-06,0.011640647981019,0.000218680940320031,0.00118138050873143,5.78498972661854e-06,3
1,38,7.08310241300967e-06,0.0114857744779618,0.000207759153528149,0.00116346926031375,5.58004093094291e-06,3
1,39,7.06142847576767e-06,0.0113342810426366,0.000198282618602331,0.0011461555752753,5.38093377411164e-06,3
1,40,7.04033423826636e-06,0.0111860284475604,0.000189470748133034,0.00112971579688986,5.19077167557676e-06,3
1,41,7.01977980378938e-06,0.0110409427729474,0.000181684183326868,0.00111390172646973,5.01064993972691e-06,3
1,42,6.99976320338808e-06,0.0108989484632617,0.000175329243668649,0.00109859251713724,4.84325204188078e-06,3
1,43,6.98028757581037e-06,0.0107599481740796,0.000170413290472794,0.00108357475691885,4.6873071314198e-06,3
1,44,6.96133465995685e-06,0.0106238112648024,0.000167242660389161,0.00106889619136174,4.54058315608598e-06,3
1,45,6.94287498941241e-06,0.0104904194505071,0.000164570343165009,0.00105465535608584,4.40155707921604e-06,3
1,46,6.92488661186172e-06,0.01035969020139,0.000161758753724311,0.00104090969395476,4.26617755289024e-06,3
1,47,6.90733537779109e-06,0.0102315119930286,0.00015928073435456,0.00102753900112283,4.12844653759083e-06,3
1,48,6.89018845784948e-06,0.0101058377523127,0.000157635049791389,0.00101449588664076,3.99772237180559e-06,3
1,49,6.87342397695647e-06,0.00998258010148654,0.000156279763159516,0.0010018694748719,3.8695815838433e-06,3
1,50,6.85703974355283e-06,0.00986165084213937,0.000154592588917375,0.000989672186579146,3.7539057890233e-06,3
1,51,6.84102292693988e-06,0.00974301848992479,0.00015337491964479,0.000977721010841703,3.65001314147052e-06,3
1,52,6.82535499353952e-06,0.00962663929450937,0.000152396273966848,0.00096606396635293,3.53952878103095e-06,3
1,53,6.81000930229768e-06,0.00951246848321361,0.000151255901724975,0.000954648046370712,3.4369089555459e-06,3
1,54,6.79498764530464e-06,0.00940049613278911,0.000150150179592783,0.000943466270087344,3.33247408937513e-06,3
1,55,6.78030001066418e-06,0.00929068983963024,0.000149368286320918,0.000932578135764916,3.21787793440827e-06,3
1,56,6.76593109265366e-06,0.00918301760983455,0.000148007389555047,0.000922101107118648,3.1063774769389e-06,3
1,57,6.75187330813461e-06,0.00907745114930996,0.000146795727082101,0.000911874214184775,3.00566269641257e-06,3
1,58,6.73811379486564e-06,0.00897398025279548,0.000146254920875455,0.000901818960951949,2.89776822516028e-06,3
1,59,6.72461429281596e-06,0.00887258417699423,0.000145234891118414,0.000892036395847373,2.78960621532108e-06,3
1,60,6.71138022726179e-06,0.00877324786468078,0.000144185231912938,0.000882488851171053,2.68464294096088e-06,3
1,61,6.69840921707186e-06,0.00867596726054861,0.000143258116579568,0.000873139156193016,2.58905792710695e-06,3
1,62,6.68568140253522e-06,0.00858079004676791,0.000142131775297804,0.000864024017592512,2.49490475093324e-06,3
1,63,6.6732059918851e-06,0.00848766579851921,0.000141469744195594,0.000855051108775036,2.39059657814197e-06,3
1,64,6.66093639210827e-06,0.00839662939195655,0.000140128131909205,0.000846384363676735,2.30311244983293e-06,3
