theta_deg,model,incident_Ex_magnitude,magnitude_min,magnitude_max,relative_phase_min_rad,relative_phase_max_rad,magnitude_color_min,magnitude_color_max,phase_color_min_rad,phase_color_max_rad
0.0,Rytov,1.0,0.9965417203903854,1.0046000470397387,-0.0012084772521075875,0.02500350710195631,0.9963,1.0048,-0.026,0.026
0.0,Maxwell exact,1.0,0.9971629245210767,1.004069246257657,-0.001118399274997421,0.024420006868990464,0.9963,1.0048,-0.026,0.026
5.0,Rytov,0.9961946980917455,0.992788043984182,1.0007314103659166,-0.001215235884986119,0.025044276835663938,0.9926,1.0009,-0.026,0.026
5.0,Maxwell exact,0.9961946980917455,0.9933978299579246,1.0002063710099773,-0.0011176573972308413,0.0244598964734057,0.9926,1.0009,-0.026,0.026
10.0,Rytov,0.984807753012208,0.9815103425658301,0.9893476217545172,-0.0012638556460621915,0.025117555131833096,0.9813,0.9896,-0.026,0.026
10.0,Maxwell exact,0.984807753012208,0.9821092623093987,0.9888136791343675,-0.0011247407930611401,0.024530597554114568,0.9813,0.9896,-0.026,0.026
14.999999999999998,Rytov,0.9659258262890683,0.9627461338982771,0.970286180559867,-0.0012504971564018658,0.025317613743843233,0.9625,0.9705,-0.026,0.026
14.999999999999998,Maxwell exact,0.9659258262890683,0.9633462216590665,0.969756403335158,-0.0011616087982028469,0.024718508345414458,0.9625,0.9705,-0.026,0.026
20.0,Rytov,0.9396926207859084,0.9370273023410949,0.9436261050942276,-0.0012803106414985266,0.025242700601314165,0.9368,0.9438,-0.026,0.026
20.0,Maxwell exact,0.9396926207859084,0.9375286224897436,0.9431363938497809,-0.0011820942012455698,0.024690630454458906,0.9368,0.9438,-0.026,0.026
